Price,Bedroom,Bathroom,Square feet,Street,City/State
"$1,425,000",1bd,2ba,"1,365 sqft",1500 Plymouth Ave,"Westwood Park, San Francisco, CA"
"$888,000",2bd,2ba,"1,950 sqft",2087 46th Ave,"Outer Sunset, San Francisco, CA"
"$1,298,000",2bd,2ba,"1,780 sqft",1367-1369 Natoma St,"Mission, San Francisco, CA"
"$12,500,000",2bd,1ba,"1,718 sqft",662-668 Clay St,"Financial District, San Francisco, CA"
"$1,095,000",2bd,2ba,"1,250 sqft",1338 Vermont St,"Potrero Hill, San Francisco, CA"
"$1,159,583",3bd,2ba,"10,494 sqft",4330 20th St #32,"Castro, San Francisco, CA"
"$985,000",3bd,1ba,550 sqft,730 38th Ave,"Outer Richmond, San Francisco, CA"
"$950,000",3bd,1ba,"9,975 sqft",17 Pearl St,"Mission Dolores, San Francisco, CA"
"$1,050,000",2bd,1ba,599 sqft,90 Apollo St,"Silver Terrace, San Francisco, CA"
"$4,600,000",2bd,1ba,"1,657 sqft",3201 Mission St #3207,"Bernal Heights, San Francisco, CA"
"$470,000",3bd,1ba,"4,318 sqft",1305 Laguna St #1,"Western Addition, San Francisco, CA"
"$4,928,000",4bd,4ba,"1,231 sqft",536-560 Irving St,"Inner Sunset, San Francisco, CA"
"$629,000",2bd,1ba,"1,870 sqft",1081 14th St #A,"Buena Vista Park and Dolores Park, San Francisco, CA"
"$999,999",4bd,2ba,418 sqft,55 Stoneybrook Ave,"Excelsior, San Francisco, CA"
"$1,590,000",2bd,1ba,"2,999 sqft",627-629 Jackson St,"Chinatown, San Francisco, CA"
"$799,000",5bd,2ba,"3,878 sqft",2030 3rd St #3,"Central Waterfront, San Francisco, CA"
"$1,850,000",2bd,1ba,"14,188 sqft",4312 23rd St,"Noe Valley, San Francisco, CA"
"$415,827",3bd,2ba,"1,870 sqft",776 Tehama St #9,"SoMa, San Francisco, CA"
"$2,600,000",5bd,2ba,784 sqft,3130-3134 Steiner St,"Cow Hollow, San Francisco, CA"
"$1,700,000",3bd,2ba,"2,075 sqft",514-516 41st Ave,"Outer Richmond, San Francisco, CA"
"$7,400,000",2bd,1ba,"1,644 sqft",3852-3862 California St,"Presidio Heights, San Francisco, CA"
"$1,795,000",2bd,1ba,634 sqft,1474 6th Ave,"Inner Sunset, San Francisco, CA"
